file_name,intervention,cycle,F_preload_start_N,M_peak_Nm,F_peak_N,F_eng_N,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0
4 - FUF Left,FUF Left,7,0.924458224666848,5.145757487513643,37.019838039666496,12.0,0.830261553915946,0.429245102516674,1.7289038567969623,1.3278874053976903,2.358365434729698,1.9573489833304258,2.756388093823421,2.355371642424149
4 - FUF Left,FUF Left,8,5.6693445336671955,8.048221264480265,57.900872406332844,12.0,0.2459702057365384,0.0005219295851000248,0.5782673657995288,0.3328190896480904,1.0178166377564526,0.7723683616050141,1.1795194249714338,0.9340711488199955
4 - FUF Left,FUF Left,9,5.4920052373335215,8.017208513417234,57.67775908933262,12.0,-1.058696729616257,-0.011223065904825124,-0.8895573211837517,0.1579163425276801,-0.4924609104455667,0.5550127532658652,0.015937254098506,1.063410917809938
4 - FUF Left,FUF Left,10,4.655109960000347,8.410196884839824,60.50501355999873,12.0,1.5783289094938426,-0.46912694768053914,1.9791947264426235,-0.0682611307317581,2.1410616651047647,0.09360580793038295,2.2034540597394283,0.1559982025650463
5 - FBF,FBF,1,0.9673579259998581,8.269543463854959,59.4931184449997,12.0,2.3255557332502943,0.10201722849175654,2.6641594945958493,0.4406209898373118,3.135153793212363,0.9116152884538256,3.3602020094542184,1.136663504695681
5 - FBF,FBF,2,1.7485283309998703,8.195069571671961,58.95733504799973,12.0,1.7121503143960635,0.07081961258129083,2.2808454039196016,0.6395147021048287,2.607519691970928,0.9661889901561551,2.917481500094071,1.2761507982792983
5 - FBF,FBF,3,0.8057459499998544,9.60008745303993,69.06537735999949,12.0,1.9027874591609029,0.1642774385855579,2.3473480921560474,0.6088380715807024,2.8570396034680523,1.118529582892707,3.1418070870774084,1.4032970665020632
5 - FBF,FBF,4,8.786169119999954,4.372984537268,31.460320411999994,12.0,1.5501635622174499,-0.06196874085552635,2.5871029699819474,0.9749706669089712,2.973994303626748,1.3618620005537716,,
5 - FBF,FBF,5,2.866460477002332,4.847581523996627,34.87468722299732,12.0,1.1219371338842115,0.1577681794105963,2.05069858637617,1.0865296319025548,2.777170242338618,1.8130012878650026,,
5 - FBF,FBF,6,3.1519291050010327,4.899287465684907,35.24667241499933,12.0,0.6282893584874608,0.22091997660009705,1.1376084871878407,0.730239105300477,2.445592323797597,2.0382229419102336,,
5 - FBF,FBF,7,1.9719901729986027,2.2426971912131837,16.13451216700132,9.68070730020079,0.74674780832459,-0.20981551997634504,,,,,,
5 - FBF,FBF,8,1.9719901729986027,8.52449204496115,61.327280899001074,12.0,0.74674780832459,-0.25572446806370636,0.567624047018708,-0.43484822936958845,1.2854865744259338,0.2830142980376376,1.3789140292714501,0.37644175288315385
5 - FBF,FBF,9,4.246947240999074,9.05659844327607,65.15538448400049,12.0,1.141055033416538,0.1633229729312554,1.7381883647410894,0.7604563042558068,2.1659514362769716,1.1882193757916892,2.309025492239264,1.3312934317539815
5 - FBF,FBF,10,4.238830852000022,9.98811769965196,71.85696186799971,12.0,0.45005663368063614,0.1148240170511015,0.9333508067445659,0.5981181901150313,1.5868102470176548,1.2515776303881203,1.7730177888058558,1.4377851721763213
6 - Posterior Release,Posterior Release,1,3.3050800000000002,9.98395186937402,71.82699186600014,12.0,2.1027814639633933,0.12504588233493308,2.4889999229793194,0.5112643413508594,2.844879656866408,0.8671440752379478,3.1087211852276084,1.1309856035991483
6 - Posterior Release,Posterior Release,2,2.84237,9.9468555036894,71.56011153733382,12.0,1.363118323551513,0.09986092137708567,1.8751357747804012,0.6118783726059734,2.42611394813316,1.1628565459587323,2.972617086081473,1.7093596839070455
6 - Posterior Release,Posterior Release,3,1.2276083533330477,11.018772274220126,79.27174298000091,12.0,-0.13228883979204675,0.0888409867141129,0.6530322435686166,0.8741620700747762,0.9858176089445837,1.2069474354507432,1.4084845232697356,1.6296143497758953
6 - Posterior Release,Posterior Release,4,9.057277253332915,5.57376556985668,40.09903287666676,12.0,1.0541188965909376,0.09535973680243386,1.3942560273743674,0.4354968675858638,2.051985415055249,1.0932262552667453,3.8056310906444315,2.8468719308559276
