file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
7 - SPO,SPO,1,10.73333333333332,-0.38795950363472725,4.1053925299997545,-0.13710192678070288,10,104.69185734166648,14.55216817049164,100.58646481166673,13.981518608821675,2.0,5.0,1.9366038286455487,3.276596425584962,2.238818338886422,True
7 - SPO,SPO,2,10.73333333333332,-0.38795950363472725,4.224799976666689,0.16610201376013933,10,111.28842798133358,15.469091489405368,107.0636280046669,14.8818442926487,2.0,5.0,1.996276409875326,2.9426620117498605,3.1699552424062767,True
7 - SPO,SPO,3,10.73333333333332,-0.38795950363472725,5.522545725999264,0.17544847538880137,10,102.1206318953329,14.194767833451275,96.59808616933364,13.427133977537377,2.0,5.0,1.7455008104022511,3.088774106668343,2.2333504345981754,True
7 - SPO,SPO,4,10.73333333333332,-0.38795950363472725,6.364919966666757,5.380915367694767,10,43.19509526933343,6.004118242437347,36.830175302666674,5.119394367070668,2.0,5.0,0.6884471295434823,4.027794598856173,0.8983791077654655,True
7 - SPO,SPO,5,10.73333333333332,-0.38795950363472725,12.162690000000001,5.754601162396709,10,26.39421339333336,3.668795661673337,14.231523393333358,1.9781817516733367,2.0,5.0,,,,False
7 - SPO,SPO,6,10.73333333333332,-0.38795950363472725,21.030043385667977,8.24753993768042,10,24.47525954666652,3.4020610769866466,3.4452161609985446,0.4788850463787977,2.0,5.0,,,,False
7 - SPO,SPO,7,10.73333333333332,-0.38795950363472725,21.030043385667977,8.24753993768042,10,26.011953380665958,3.615661519912568,4.981909994997981,0.6924854893047193,2.0,5.0,,,,False
7 - SPO,SPO,8,10.73333333333332,-0.38795950363472725,22.246120014666,8.39808312564815,10,24.452470212333267,3.398893359514324,2.206350197667266,0.30668267747575,2.0,5.0,,,,False
7 - SPO,SPO,9,10.73333333333332,-0.38795950363472725,20.846291999668466,8.278284980927896,10,24.25927,3.37203853,3.4129780003315346,0.4744039420460833,2.0,5.0,,,,False
7 - SPO,SPO,10,10.73333333333332,-0.38795950363472725,7.795733052666138,3.238638780303149,10,28.838266760999257,4.008519079778897,21.042533708333117,2.9249121854583033,2.0,5.0,,,,False
7 - SPO,SPO,11,10.73333333333332,-0.38795950363472725,21.72538333333377,8.616266885504551,10,23.840620056666747,3.313846187876678,2.115236723332977,0.2940179045432838,2.0,5.0,,,,False
7 - SPO,SPO,12,10.73333333333332,-0.38795950363472725,18.971196270000448,8.440456789341177,10,25.25143676333323,3.5099497101033195,6.280240493332784,0.872953428573257,2.0,5.0,,,,False
7 - SPO,SPO,13,10.73333333333332,-0.38795950363472725,18.971196270000448,8.440456789341177,10,23.378370553333127,3.2495935069133046,4.4071742833326795,0.6125972253832423,2.0,5.0,,,,False
7 - SPO,SPO,14,10.73333333333332,-0.38795950363472725,3.8722143696681033,-0.35344331818807667,10,88.0305051789997,12.23624021988096,84.1582908093316,11.698002422497092,2.0,5.0,0.8743611124106339,1.7525397602941017,3.4161614009067693,True
7 - SPO,SPO,15,10.73333333333332,-0.38795950363472725,2.8946340550003544,-0.08067959445932765,10,97.1941688876647,13.509989475385392,94.29953483266435,13.107635341740345,2.0,5.0,-0.12638616083543414,2.9228255757858093,0.9838608332671008,True
7 - SPO,SPO,16,10.73333333333332,-0.38795950363472725,2.6663934563333562,0.3226618563345429,10,94.46901076333317,13.131192496103312,91.80261730699982,12.760563805672975,2.0,5.0,0.4290486734356251,2.1268815642671974,1.76695834802131,True
