file_name,intervention,cycle,t_start_s,t_peak_s,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,theta_ref_mode,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,dtheta_secant_deg,k_sec_Nm_per_deg,secant_reason,valid_secant,gate_band_n,gate_n_up_m,gate_n_opposite,gate_opposite_ratio,gate_corr_theta_m,gate_radius_std_mm,gate_z_std_mm,pass_geometry_gate,pass_monotonicity_gate,pass_auto_exclusion,auto_exclusion_reason,k_sec_auto_Nm_per_deg
4 - FUF Left,"FUF, left",4,154.40229833333333,160.96890333333334,17.53333333333332,-0.5970316501026847,0.8942364133331433,-0.2007071791815787,10,preramp_median_fallback,33.49984917333412,4.417625110487571,32.60561276000097,4.299702154661329,1.0,4.0,0.3008039164376015,2.709705658609412,2.4089017421718104,1.2453808088059537,ok,True,158,95,25,0.2631578947368421,0.8953447036538685,0.14996512246257204,0.44719026703932746,True,True,True,ok,1.2453808088059537
4 - FUF Left,"FUF, left",5,194.86958333333334,197.70296533333334,17.53333333333332,-0.5970316501026847,2.3851683333333336,0.11129509263001677,10,preramp_median_fallback,34.135298293333186,4.501421785941847,31.750129959999853,4.186889637825181,1.0,4.0,-0.18666795905470696,1.9430076737237456,2.1296756327784525,1.408665222922277,ok,True,70,46,4,0.08695652173913043,0.9561418847512964,0.03795444402061436,0.22410966526324844,True,True,True,ok,1.408665222922277
4 - FUF Left,"FUF, left",7,224.53671533333332,229.00343433333333,17.53333333333332,-0.5970316501026847,0.924458224666848,-0.3282815264921901,3,force_zero_band,37.944296264333346,5.003714348377638,37.019838039666496,4.881806042290821,1.0,4.0,0.2006147688349852,2.2862569229151637,2.0856421540801784,1.4384059097247566,ok,True,68,51,9,0.17647058823529413,0.9636282211225492,0.10965839126776515,0.7358807653977919,True,True,True,ok,1.4384059097247566
4 - FUF Left,"FUF, left",8,274.7707763333333,280.40431533333333,17.53333333333332,-0.5970316501026847,5.6693445336671955,0.34487011858733424,3,force_zero_band,63.57021694000004,8.383004507877805,57.900872406332844,7.635388044223112,1.0,4.0,0.27749078461007815,1.0389952189525509,0.7615044343424727,3.9395699679547826,ok,True,35,29,10,0.3448275862068966,0.9286898236815115,0.06178274074179304,0.28817945108179494,True,True,True,ok,3.9395699679547826
4 - FUF Left,"FUF, left",9,314.4047893333333,318.6382363333333,17.53333333333332,-0.5970316501026847,5.4920052373335215,1.5141936969866518,10,preramp_median_fallback,63.16976432666614,8.330196821757465,57.67775908933262,7.605966091110293,1.0,4.0,-0.5780906359020225,-0.35607279430126315,0.22201784160075932,,dtheta_too_small,False,19,18,8,0.4444444444444444,0.37020046628437786,0.08241268576562244,0.3453815416323368,True,False,False,monotonicity_gate,
4 - FUF Left,"FUF, left",10,343.17192133333333,348.0053683333333,17.53333333333332,-0.5970316501026847,4.655109960000347,-0.8018640832638657,3,force_zero_band,65.16012351999908,8.592665488582279,60.50501355999873,7.978796138157033,1.0,4.0,2.3136687056311533,2.055219273115112,-0.25844943251604136,,dtheta_too_small,False,33,29,9,0.3103448275862069,-0.05128953879563193,0.12925867285677428,1.8088012860178437,False,True,False,geometry_gate,
5 - FBF,FBF,1,45.68408599999999,49.51732099999999,12.049999999999988,-0.5441453798981915,0.9673579259998581,-0.10509247916816983,10,preramp_median_fallback,60.46047637099956,7.972923019043712,59.4931184449997,7.8453575293421105,1.0,4.0,1.6653956489557533,3.019808275775865,1.3544126268201118,2.214982303467885,ok,True,35,32,0,0.0,0.9935776525914137,0.02811221260901238,0.19366101899986707,True,True,True,ok,2.214982303467885
5 - FBF,FBF,2,79.08452099999998,83.11790899999998,12.049999999999988,-0.5441453798981915,1.7485283309998703,0.006676866814508964,10,preramp_median_fallback,60.705863378999595,8.005282203788678,58.95733504799973,7.774703772779724,1.0,4.0,1.492653230398061,2.7246923150397584,1.2320390846416973,2.4349876861840487,ok,True,23,22,0,0.0,0.989225494363241,0.04966863157235188,0.34986240513490485,True,True,True,ok,2.4349876861840487
5 - FBF,FBF,3,120.65189499999998,124.61860999999999,12.049999999999988,-0.5441453798981915,0.8057459499998544,0.09977685362080274,10,preramp_median_fallback,69.87112330999935,9.213905030889615,69.06537735999949,9.107651312463133,1.0,4.0,1.0295770862784566,2.923126585293568,1.8935494990151116,1.5843261565437736,ok,True,45,40,0,0.0,0.9840362130300871,0.032809270822882014,0.33030968684691997,True,True,True,ok,1.5843261565437736
5 - FBF,FBF,4,163.41919199999998,171.319292,12.049999999999988,-0.5441453798981915,8.786169119999954,0.14140366338221522,3,force_zero_band,40.24648953199995,5.307304574584833,31.460320411999994,4.148672452730439,1.0,4.0,0.9542883013815753,3.1073140782564934,2.153025776874918,1.3933878693985964,ok,True,174,108,28,0.25925925925925924,0.9594999356584519,0.06736716037779014,0.451346284050058,True,True,True,ok,1.3933878693985964
