file_name,intervention,cycle,lag_s,theta0_deg,F_peak_N,M_peak_Nm,F_eng_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
5 - FBF,FBF,9,12.049999999999988,-0.5626318135630284,69.40233172499957,9.64692410977494,12.0,2.0,5.0,0.08889540795630711,1.4461830833847267,2.2102904596500283,True
5 - FBF,FBF,10,12.049999999999988,-0.5626318135630284,76.09579271999974,10.577315188079963,12.0,2.0,5.0,-0.08767711389951675,1.3852708047181086,2.0367318912507963,True
6 - Posterior Release,Posterior Release,1,10.816666666666654,-0.23912241805530993,75.13207186600015,10.44335798937402,12.0,2.0,5.0,0.5459021844894534,1.6432353987994346,2.733900661055305,True
6 - Posterior Release,Posterior Release,2,10.816666666666654,-0.23912241805530993,74.40248153733383,10.341944933689401,12.0,2.0,5.0,0.11660086555772023,1.610466996716274,2.0082120729742887,True
6 - Posterior Release,Posterior Release,3,10.816666666666654,-0.23912241805530993,80.49935133333396,11.189409835333421,12.0,2.0,5.0,0.07368468596527442,1.626337472333249,1.9321769981926968,True
6 - Posterior Release,Posterior Release,4,10.816666666666654,-0.23912241805530993,49.156310129999675,6.832727108069955,12.0,2.0,5.0,0.14257711914459034,2.13111133792709,1.5086489192209025,True
6 - Posterior Release,Posterior Release,6,10.816666666666654,-0.23912241805530993,45.80838,6.36736482,12.0,2.0,5.0,0.01241452863028261,3.1170175463422596,0.9663071197459999,True
6 - Posterior Release,Posterior Release,7,10.816666666666654,-0.23912241805530993,50.68945280999985,7.045833940589978,12.0,2.0,5.0,0.17561846536241688,2.663374548751584,1.2059060050264185,True
6 - Posterior Release,Posterior Release,8,10.816666666666654,-0.23912241805530993,26.743633355333962,3.7173650363914206,12.0,2.0,5.0,,,,False
6 - Posterior Release,Posterior Release,9,10.816666666666654,-0.23912241805530993,101.41056432266649,14.096068440850642,12.0,2.0,5.0,-0.5299783652575922,0.835038807652885,2.197774547849407,True
6 - Posterior Release,Posterior Release,10,10.816666666666654,-0.23912241805530993,104.8685405720002,14.576727139508028,12.0,2.0,5.0,-0.04304319065752478,1.145731164027384,2.523607603223546,True
6 - Posterior Release,Posterior Release,11,10.816666666666654,-0.23912241805530993,103.75153579999937,14.421463476199913,12.0,2.0,5.0,1.4058854146469721,0.7754575488944278,,False
6 - Posterior Release,Posterior Release,12,10.816666666666654,-0.23912241805530993,116.24578698466715,16.158164390868734,12.0,2.0,5.0,-0.0012608793703037594,-0.3082636778278095,,False
7 - SPO,SPO,1,10.73333333333332,-0.38795950363472725,104.69185734166648,14.55216817049164,12.0,2.0,5.0,0.7750059864224177,2.358824950872122,1.8941558772421603,True
7 - SPO,SPO,2,10.73333333333332,-0.38795950363472725,111.28842798133358,15.469091489405368,12.0,2.0,5.0,0.49501857200050503,1.4540996830709414,3.127994040724753,True
7 - SPO,SPO,3,10.73333333333332,-0.38795950363472725,102.1206318953329,14.194767833451275,12.0,2.0,5.0,0.8129406542477933,2.409842312101482,1.878637914392388,True
7 - SPO,SPO,4,10.73333333333332,-0.38795950363472725,43.19509526933343,6.004118242437347,12.0,2.0,5.0,0.04329906165959405,3.3810376591989266,0.898812148504283,True
7 - SPO,SPO,5,10.73333333333332,-0.38795950363472725,26.39421339333336,3.668795661673337,12.0,2.0,5.0,,,,False
7 - SPO,SPO,6,10.73333333333332,-0.38795950363472725,24.47525954666652,3.4020610769866466,12.0,2.0,5.0,,,,False
7 - SPO,SPO,7,10.73333333333332,-0.38795950363472725,26.011953380665958,3.615661519912568,12.0,2.0,5.0,,,,False
7 - SPO,SPO,8,10.73333333333332,-0.38795950363472725,24.452470212333267,3.398893359514324,12.0,2.0,5.0,,,,False
7 - SPO,SPO,9,10.73333333333332,-0.38795950363472725,24.25927,3.37203853,12.0,2.0,5.0,,,,False
7 - SPO,SPO,10,10.73333333333332,-0.38795950363472725,28.838266760999257,4.008519079778897,12.0,2.0,5.0,,,,False
7 - SPO,SPO,11,10.73333333333332,-0.38795950363472725,23.840620056666747,3.313846187876678,12.0,2.0,5.0,,,,False
7 - SPO,SPO,12,10.73333333333332,-0.38795950363472725,25.25143676333323,3.5099497101033195,12.0,2.0,5.0,,,,False
7 - SPO,SPO,13,10.73333333333332,-0.38795950363472725,23.378370553333127,3.2495935069133046,12.0,2.0,5.0,,,,False
7 - SPO,SPO,14,10.73333333333332,-0.38795950363472725,88.0305051789997,12.23624021988096,12.0,2.0,5.0,-0.056284999930193445,1.0639899307299088,2.6779140708185825,True
7 - SPO,SPO,15,10.73333333333332,-0.38795950363472725,97.1941688876647,13.509989475385392,12.0,2.0,5.0,0.1520247845360892,2.251134782704065,1.4291771286965844,True
7 - SPO,SPO,16,10.73333333333332,-0.38795950363472725,94.46901076333317,13.131192496103312,12.0,2.0,5.0,0.5893497570986225,2.313145149611114,1.7403457585690583,True
