file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,F_eng_dyn_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
4 - FUF Left,"FUF, left",8,17.53333333333332,-0.6200340572978378,5.6693445336671955,63.57021694000004,8.836260154660005,57.900872406332844,8.048221264480265,12.0,2.0,5.0,0.0005219295851000248,0.9340711488199955,3.213542401608665,True
4 - FUF Left,"FUF, left",9,17.53333333333332,-0.6200340572978378,5.4920052373335215,63.16976432666614,8.780597241406593,57.67775908933262,8.017208513417234,12.0,2.0,5.0,-0.011223065904825124,1.063410917809938,2.7916481755301357,True
4 - FUF Left,"FUF, left",10,17.53333333333332,-0.6200340572978378,4.655109960000347,65.16012351999908,9.057257169279872,60.50501355999873,8.410196884839824,12.0,2.0,5.0,-0.46912694768053914,0.1559982025650463,4.799039038537204,True
5 - FBF,FBF,1,12.049999999999988,-0.5626318135630284,0.9673579259998581,60.46047637099956,8.40400621556894,59.4931184449997,8.269543463854959,12.0,2.0,5.0,0.10201722849175654,1.136663504695681,2.899541678153889,True
5 - FBF,FBF,2,12.049999999999988,-0.5626318135630284,1.7485283309998703,60.705863378999595,8.438115009680944,58.95733504799973,8.195069571671961,12.0,2.0,5.0,0.07081961258129083,1.2761507982792983,2.488942487838062,True
5 - FBF,FBF,3,12.049999999999988,-0.5626318135630284,0.8057459499998544,69.87112330999935,9.712086140089909,69.06537735999949,9.60008745303993,12.0,2.0,5.0,0.1642774385855579,1.4032970665020632,2.4212691489356803,True
5 - FBF,FBF,4,12.049999999999988,-0.5626318135630284,8.786169119999954,40.24648953199995,5.5942620449479925,31.460320411999994,4.372984537268,12.0,2.0,5.0,,,,False
5 - FBF,FBF,5,12.049999999999988,-0.5626318135630284,2.866460477002332,37.74114769999966,5.246019530299953,34.87468722299732,4.847581523996627,12.0,2.0,5.0,,,,False
5 - FBF,FBF,6,12.049999999999988,-0.5626318135630284,3.1519291050010327,38.39860152000036,5.33740561128005,35.24667241499933,4.899287465684907,12.0,2.0,5.0,,,,False
5 - FBF,FBF,7,12.049999999999988,-0.5626318135630284,1.9719901729986027,18.10650233999992,2.516803825259989,16.13451216700132,2.2426971912131837,9.68070730020079,2.0,5.0,,,,False
5 - FBF,FBF,8,12.049999999999988,-0.5626318135630284,1.9719901729986027,63.29927107199968,8.798598679007956,61.327280899001074,8.52449204496115,12.0,2.0,5.0,-0.25572446806370636,0.37644175288315385,4.745587316428569,True
5 - FBF,FBF,9,12.049999999999988,-0.5626318135630284,4.246947240999074,69.40233172499957,9.64692410977494,65.15538448400049,9.05659844327607,12.0,2.0,5.0,0.1633229729312554,1.3312934317539815,2.5685581149234684,True
