file_name,intervention,cycle,s,e,i0_force,i0,pk,t_start_s,t_peak_s,rise_s,F_start_raw_N,F_peak_raw_N,F_peak_dyn_N,F_start_id_N,F_peak_id_N,theta_force_start_deg,theta_start_deg,theta_peak_deg,dtheta_deg,theta_force_start_raw_deg,theta_start_raw_deg,theta_preramp_med_deg,theta_preramp_open_frac,non_neutral_force_start_flag,non_neutral_preramp_window_flag,non_neutral_start_window_flag,run_samples,transition_flag_raw,transition_flag
4 - FUF Left,"FUF, left",6,5496,6170,5437,5392,5589,221.93662333333333,229.53678833333333,7.600165000000004,-0.30990221000014273,37.41348,37.72338221000014,-0.31186552347337576,37.10720529616309,-1.146370389041107,-0.5370655106880652,1.6952784963886987,2.232344007076764,-1.1720278033581937,-2.324171277109764,-1.116909500047008,0.0,False,False,False,674,False,False
4 - FUF Left,"FUF, left",7,6834,7808,6774,6779,6946,274.8708223333333,280.4376303333333,5.56680799999998,6.031556869999423,62.777362859667555,56.745805989668135,6.235120395758471,62.612981958285836,-0.34644491914030445,-0.32340297035388293,1.7798590405510222,2.103262010904905,-0.2908855810676231,-0.2850661022615119,-0.5371440145357111,0.0,False,False,False,974,False,False
4 - FUF Left,"FUF, left",8,7949,8637,7899,7875,8030,313.5382333333333,318.7048933333333,5.166659999999979,0.0,62.526424359999204,62.526424359999204,1.1694466533172105,62.32362717601952,0.549876807636497,-0.01919388503125118,1.619593961292747,1.6387878463239982,1.2579353556074249,0.05571773493833911,0.20810291380722573,0.0,False,False,False,688,False,False
4 - FUF Left,"FUF, left",9,8761,9544,8701,8694,8864,342.3052873333333,347.9720493333333,5.666762000000006,2.966977619334472,64.16077284533036,61.193795225995885,3.5970673605747514,63.478013662547916,0.5774242862617699,0.0009625070188219696,1.785931769522131,1.7849692625033091,0.44360217768689314,0.057520202695998036,-0.5882667253516956,0.0,False,False,False,783,False,False
5 - FBF,FBF,1,641,1339,613,619,731,45.88398899999999,49.61737599999999,3.7333870000000005,3.5416704769988474,59.64094464000003,56.09927416300118,3.991767378107414,59.22623941585303,-0.43446347513356515,0.0125666500823916,3.3501760042511437,3.337609354168752,-0.7573629682606329,0.015340958713950581,-0.4812648693932635,0.0,False,False,False,698,False,False
5 - FBF,FBF,2,1522,2285,1499,1504,1610,79.25123399999998,82.78470999999999,3.5334760000000074,6.031563479999759,60.10978020999954,54.07821672999978,4.946406047673867,59.97429883498328,-0.3504125819053813,0.002076591596086947,3.3780328514286877,3.3759562598326007,-0.3752541595452188,-0.06496494528289799,-0.7658006145654874,0.0,False,False,False,763,False,False
5 - FBF,FBF,3,2689,3488,2648,2662,2773,120.95191099999998,124.65196299999998,3.7000519999999995,6.648055129999607,69.5128791400003,62.86482401000069,6.0947055948832976,68.71537217570184,-0.449136536903305,0.013678772708271563,3.8726145218316597,3.858935749123388,-0.45193930271534705,0.010339628237447874,-0.4358584378573517,0.0,False,False,False,799,False,False
5 - FBF,FBF,4,3957,4664,3897,3916,4139,164.01913199999998,171.45267099999998,7.433538999999996,12.97037181199859,38.88085139900025,25.91047958700166,13.422988582562322,39.2795364605998,-0.4540193054361371,0.005155794379244426,2.7669250950703312,2.761769300691087,-0.4340105045975493,0.04784766410703075,-0.46957422327783044,0.0,False,False,False,707,False,False
5 - FBF,FBF,5,4878,5679,4826,4867,5005,196.48639599999998,201.08649799999998,4.600101999999993,11.070509315999207,37.66450435599769,26.593995039998486,10.955368030660448,37.39175846469931,-0.7832365912388415,0.008633543941417203,2.2768928273108187,2.2682592833694013,-0.7392223680215066,0.018967518286589186,-1.00292077442588,0.0,False,False,False,801,True,False
5 - FBF,FBF,6,6121,6988,6061,6106,6184,240.62048599999997,243.22048399999997,2.5999979999999994,9.631554754001305,38.39860152000036,28.767046765999055,9.629616332438765,38.04022720419489,-0.7124292747374842,-0.23740579352854196,2.355146531353766,2.5925523248823077,-0.7568216442965525,-0.13652261328177048,-0.6450697322413275,0.0,False,False,False,867,False,False
