theta_deg_zhang_sign,moment_mts_centered_nm_zhang_sign,moment_mts_refit_cubic_nm,moment_paper_f0_nm,moment_paper_f500_nm,moment_diff_mts_minus_paper_f0_nm,moment_diff_mts_minus_paper_f500_nm
-5.962893400325177,-2.823791583166332,-2.591455209571081,-13.366578737086346,-23.801642187655403,10.542787153920013,20.97785060448907
-5.934339482731234,-2.792607214428858,-2.564676610676883,-13.239460479587187,-23.624554574366847,10.446853265158328,20.83194735993799
-5.907477399711404,-2.7614228456913823,-2.5396555022515046,-13.120621053963676,-23.458706503458632,10.359198208272293,20.69728365776725
-5.879630949021983,-2.7302384769539083,-2.5138916896995376,-12.998188447021784,-23.287542607810252,10.267949970067875,20.557304130856345
-5.849688071895269,-2.6990541082164325,-2.4863853630463546,-12.86740045411469,-23.10435457993141,10.168346345898257,20.405300471714977
-5.817688497853304,-2.667869739478957,-2.4572145963347323,-12.728612473635007,-22.90956734487829,10.060742734156051,20.241697605399334
-5.784770080407304,-2.636685370741483,-2.42744765284471,-12.586895196754607,-22.71024283746739,9.950209826013126,20.07355746672591
-5.752414617643183,-2.605501002004007,-2.398427338399065,-12.448640527307527,-22.515366108183095,9.84313952530352,19.909865106179087
-5.720843176238702,-2.574316633266533,-2.3703362671001518,-12.314724624233417,-22.326200182651146,9.740407990966883,19.751883549384612
-5.685951592897233,-2.5431322645290573,-2.339549615436754,-12.16785669211398,-22.11827197968414,9.624724427584923,19.575139715155082
-5.645323457204741,-2.5119478957915833,-2.3040417300742537,-11.998331225835386,-21.877647275943684,9.486383330043804,19.3656993801521
-5.6029052984378165,-2.4807635270541075,-2.267358150509298,-11.82303728642211,-21.62812155868829,9.342273759368002,19.14735803163418
-5.553856082348091,-2.4495791583166335,-2.225432058373954,-11.62249323293738,-21.34174137704654,9.172914074620746,18.892162218729904
-5.505879182203664,-2.4183947895791578,-2.1849298380349813,-11.428553046579156,-21.063841615435567,9.010158256999997,18.64544682585641
-5.461288985710073,-2.3872104208416838,-2.147733521284161,-11.250258435741971,-20.8075141607346,8.863048014900286,18.420303739892915
-5.420085492867319,-2.356026052104208,-2.113742619346353,-11.087169823555463,-20.572319436073272,8.731143771451254,18.216293383969063
-5.381936501839101,-2.324841683366734,-2.0825952940899324,-10.937588253101332,-20.35597713131976,8.612746569734597,18.031135447953027
-5.343035563320328,-2.2936573146292583,-2.0511527930468763,-10.786453489101131,-20.136765724911704,8.492796174471874,17.843108410282447
-5.303013565605104,-2.2624729458917825,-2.019138217869232,-10.632425458483445,-19.912699198292376,8.369952512591663,17.650226252400593
-5.262346930780936,-2.2312885771543085,-1.9869530106893531,-10.47742686610127,-19.68653399496791,8.246138288946963,17.4552454178136
-5.2245482013493145,-2.2001042084168327,-1.9573476564982746,-10.33471661927089,-19.47767597163219,8.134612410854057,17.27757176321536
-5.187912112430671,-2.1689198396793588,-1.9289364347583793,-10.197637228330768,-19.276483425084443,8.028717388651408,17.107563585405085
-5.149261167261004,-2.137735470941883,-1.8992635523054031,-10.054336275693455,-19.065543318400213,7.916600804751572,16.92780784745833
-5.112969792314096,-2.106551102204409,-1.8716818025886575,-9.92100818074765,-18.86870531729732,7.814457078543241,16.76215421509291
-5.080566815304202,-2.0753667334669332,-1.8472829321871689,-9.802962369792366,-18.69395429657472,7.727595636325433,16.618587563107788
-5.0456638314271185,-2.0441823647294592,-1.821240639014117,-9.67685578211156,-18.506767487109016,7.6326734173821,16.462585122379558
-5.008260840682842,-2.0129979959919835,-1.7936067593444491,-9.542915528374401,-18.307371999569376,7.5299175323824175,16.294374003577392
-4.964640740281146,-1.9818136272545095,-1.7617352541976532,-9.388269695253625,-18.07639099074563,7.406456067999115,16.09457736349112
-4.917970256872279,-1.9506292585170337,-1.728056288302684,-9.224655107847425,-17.831103057373916,7.274025849330392,15.880473798856883
-4.8654651166325,-1.9194448897795597,-1.6906837230767202,-9.042850264863304,-17.55741421897018,7.1234053750837445,15.637969329190621
-4.813245475626144,-1.888260521042084,-1.6540530080835274,-8.864394102528415,-17.287573684874168,6.976133581486331,15.399313163832083
-4.761740886798703,-1.8570761523046082,-1.6184458330973261,-8.69066884249309,-17.02371539439082,6.833592690188481,15.166639242086212
-4.717587971546136,-1.8258917835671342,-1.5883306435198463,-8.543535438482042,-16.79931438868778,6.717643654914908,14.973422605120646
-4.679107160141367,-1.7947074148296585,-1.5623903253735705,-8.416645310680654,-16.605082840928045,6.621937895850995,14.810375426098386
-4.634182305048171,-1.7635230460921845,-1.5324643114352083,-8.270076655094002,-16.3798956889283,6.506553609001817,14.616372642836115
-4.581284578552292,-1.7323386773547087,-1.49771852608394,-8.0996498926073,-16.116897905073813,6.367311215252591,14.384559227719105
-4.526127853657328,-1.7011543086172347,-1.462050086309782,-7.924405554909697,-15.84512929881002,6.223251246292462,14.143974990192785
-4.470335726160091,-1.669969939879759,-1.4265484369888999,-7.749675715352115,-15.572763236132275,6.079705775472356,13.902793296252515
-4.417917771165071,-1.638785571142285,-1.3937184942071983,-7.5878141622200665,-15.31917026175894,5.949028591077782,13.680384690616656
-4.368375857815887,-1.6076012024048092,-1.3631530306885518,-7.436865275876858,-15.081523027054661,5.829264073472049,13.473921824649853
-4.32729988836695,-1.5764168336673352,-1.3381493417093941,-7.313196702039561,-14.885971506681724,5.736779868372226,13.30955467301439
-4.283650393976749,-1.5452324649298594,-1.3119130108328605,-7.183244985551254,-14.679633175010565,5.638012520621395,13.134400710080705
-4.2375584776742645,-1.5140480961923837,-1.2845793401007095,-7.04764853256264,-14.463375868492603,5.533600436370256,12.949327772300219
-4.1824341298787076,-1.4828637274549097,-1.2523851724494837,-6.887656444949453,-14.206916172237191,5.404792717494543,12.72405244478228
-4.1193051294394545,-1.451679358717434,-1.2161734257747132,-6.707317157634479,-13.916101134153525,5.2556377989170455,12.46442177543609
-4.0557965274591075,-1.42049498997996,-1.180444721309929,-6.528969997868593,-13.626613920922031,5.108475007888633,12.206118930942072
-4.000686125412956,-1.3893106212424842,-1.150004264949691,-6.376681600898742,-13.377882320371416,4.987370979656258,11.988571699128933
-3.946222477893118,-1.3581262525050102,-1.120430305816091,-6.228416891216257,-13.134306227529214,4.870290638711247,11.776179975024203
-3.888621437404667,-1.3269418837675344,-1.0896980943798336,-6.074006807421527,-12.879094322879695,4.747064923653992,11.55215243911216
-3.8268321366969773,-1.2957575150300604,-1.057348050314347,-5.91107884933625,-12.60803508855596,4.61532133430619,11.3122775735259
-3.770209968373439,-1.2645731462925847,-1.0282578366361081,-5.764212482012707,-12.362079926666226,4.499639335720122,11.097506780373642
-3.703042574914207,-1.2333887775551107,-0.994429793176722,-5.592981990577812,-12.073306496677674,4.359593213022701,10.839917719122564
-3.634019650343448,-1.202204408817635,-0.9604266976114795,-5.420359668856596,-11.77989405695763,4.218155260038961,10.577689648139994
-3.556543060978484,-1.171020040080161,-0.9231637390135496,-5.230573156006736,-11.454523512719083,4.059553115926575,10.283503472638923
-3.4821373934980397,-1.1398356713426852,-0.8882658692939809,-5.052215122243336,-11.145955560864905,3.9123794509006506,10.006119889522221
-3.408334707053026,-1.1086513026052094,-0.8544978869859039,-4.87902901871219,-10.843614756054986,3.7703777161069807,9.734963453449776
-3.331013677572376,-1.0774669338677354,-0.8200116533323585,-4.701509996019926,-10.530783931771584,3.6240430621521904,9.453316997903848
-3.247233533898814,-1.0462825651302596,-0.7836582825754034,-4.513623904986017,-10.196282589308941,3.467341339855757,9.15000002417868
-3.156753728666608,-1.0150981963927856,-0.7455619133269415,-4.315838892566161,-9.840157917732725,3.300740696173375,8.82505972133994
-3.0721356218282834,-0.9839138276553099,-0.711008041840745,-4.135600080693271,-9.511837418892767,3.151686253037961,8.527923591237457
-2.9965825298937108,-0.9527294589178359,-0.6810180432410996,-3.9784690875016153,-9.222488514815609,3.0257396285837794,8.269759055897772
-2.9170190595536427,-0.9215450901803601,-0.6503004359130913,-3.816807242145935,-8.92159059636481,2.895262151965575,8.000045506184449
