file_name,intervention,cycle,F_start_N,F_eng_N,F_peak_N,theta_dist_start_deg,theta_dist_at_eng_deg,theta_eng_start_deg,M_start_Nm,M_eng_Nm,lag_s,theta0_deg,ramp_start_time_s,eng_time_s
4 - FUF Left,"FUF, left",7,0.924458224666848,12.0,37.944296264333346,-0.4055490739603007,-0.46037360655800175,0.05482453259770104,0.12849969322869187,1.6694531109575916,17.53333333333332,-0.6200340572978378,224.53671533333332,226.33674233333332
4 - FUF Left,"FUF, left",8,5.6693445336671955,12.0,63.57021694000004,0.359160498288683,0.6367774010887496,-0.27761690280006657,0.7880388901797402,1.7111157656887341,17.53333333333332,-0.6200340572978378,274.7707763333333,276.7042313333333
4 - FUF Left,"FUF, left",9,5.4920052373335215,12.0,63.16976432666614,1.4735063167418854,1.0339439945583822,0.4395623221835032,0.7633887279893595,1.7424209678865896,17.53333333333332,-0.6200340572978378,314.4047893333333,315.9381923333333
4 - FUF Left,"FUF, left",10,4.655109960000347,12.0,65.16012351999908,-0.8560162376520462,1.650872949509291,-2.5068891871613372,0.6470602844400483,1.752586460446538,17.53333333333332,-0.6200340572978378,343.17192133333333,344.5387243333333
5 - FBF,FBF,1,0.9673579259998581,12.0,60.46047637099956,-0.18095972854699705,1.9954239510183784,-2.1763836795653755,0.13446275171398028,1.7567314283999702,12.049999999999988,-0.5626318135630284,45.68408599999999,46.51731999999999
5 - FBF,FBF,2,1.7485283309998703,12.0,60.705863378999595,0.17393523357298785,1.7061318603668532,-1.5321966267938654,0.24304543800898196,1.7079101317500103,12.049999999999988,-0.5626318135630284,79.08452099999998,79.75117499999999
5 - FBF,FBF,3,0.8057459499998544,12.0,69.87112330999935,0.13017189078201707,1.8218654048569325,-1.6916935140749154,0.11199868704997977,1.6816777584599654,12.049999999999988,-0.5626318135630284,120.65189499999998,121.68513699999998
5 - FBF,FBF,4,8.786169119999954,12.0,40.24648953199995,0.13278202226730085,0.37959112075015516,-0.24680909848285432,1.2212775076799935,1.6799374576099964,12.049999999999988,-0.5626318135630284,163.41919199999998,163.81919
5 - FBF,FBF,5,2.866460477002332,12.0,37.74114769999966,-0.08529671570293462,0.6673830369805336,-0.7526797526834682,0.39843800630332415,1.697826907730129,12.049999999999988,-0.5626318135630284,195.18636299999997,196.58642999999998
5 - FBF,FBF,6,3.1519291050010327,12.0,38.39860152000036,0.17503105016531822,0.4309351576281513,-0.2559041074628331,0.43811814559514356,1.6755127326039518,12.049999999999988,-0.5626318135630284,239.68719499999997,240.820396
5 - FBF,FBF,7,1.9719901729986027,10.863901403999952,18.10650233999992,0.17829606646731866,1.0424080502288868,-0.8641119837615682,0.27410663404680574,1.5421591694758325,12.049999999999988,-0.5626318135630284,287.021297,287.721204
5 - FBF,FBF,8,1.9719901729986027,12.0,63.29927107199968,0.17829606646731866,1.1348593947682537,-0.956563328300935,0.27410663404680574,1.7632750507800397,12.049999999999988,-0.5626318135630284,287.021297,287.754541
5 - FBF,FBF,9,4.246947240999074,12.0,69.40233172499957,1.147985237317092,1.9237223926558267,-0.7757371553387347,0.5903256664988712,1.6906139100000002,12.049999999999988,-0.5626318135630284,319.588439,320.055113
5 - FBF,FBF,10,4.238830852000022,12.0,76.09579271999974,-0.31240452983092215,0.0015521071018134158,-0.31395663693273557,0.589197488428003,1.7061671871199324,12.049999999999988,-0.5626318135630284,350.822252,351.788976
6 - Posterior Release,Posterior Release,1,3.3050800000000002,12.0,75.13207186600015,-0.45646162592156986,0.8788402373970601,-1.33530186331863,0.45940612000000003,1.6694580067692741,10.816666666666654,-0.23912241805530993,28.350098666666653,29.716710666666657
6 - Posterior Release,Posterior Release,2,2.84237,12.0,74.40248153733383,-0.06384765539370674,1.0310437445767098,-1.0948913999704164,0.39508943,1.7786861601362896,10.816666666666654,-0.23912241805530993,60.850655666666654,63.083963666666655
6 - Posterior Release,Posterior Release,3,1.2276083533330477,12.0,80.49935133333396,-0.07787838987626,-0.3672956827999662,0.2894172929237062,0.17063756111329362,1.8002369123733037,10.816666666666654,-0.23912241805530993,97.51785766666664,99.08465466666665
6 - Posterior Release,Posterior Release,4,9.057277253332915,12.0,49.156310129999675,0.16853963015404547,-0.14798988533463492,0.31652951548868036,1.258961538213275,1.6943354152872523,10.816666666666654,-0.23912241805530993,135.08510266666664,135.51851266666665
6 - Posterior Release,Posterior Release,6,4.342614586666658,12.0,45.80838,0.06311863327684342,0.2648250129212844,-0.201706379644441,0.6036234275466654,1.6897343217066674,10.816666666666654,-0.23912241805530993,163.71898666666667,164.31904266666666
6 - Posterior Release,Posterior Release,7,2.500339392333485,12.0,50.68945280999985,0.6150509528201327,-0.13540005230274166,0.7504510051228743,0.34754717553435444,1.7081805622732886,10.816666666666654,-0.23912241805530993,190.65282566666667,192.01955966666665
6 - Posterior Release,Posterior Release,8,17.239908864332296,12.0,26.743633355333962,2.332214337894683,2.332214337894683,0.0,2.3963473321421893,2.3963473321421893,10.816666666666654,-0.23912241805530993,215.51972766666665,215.51972766666665
6 - Posterior Release,Posterior Release,9,8.83497295333342,12.0,101.41056432266649,0.2532356974005455,0.39554885123228045,-0.14231315383173493,1.2280612405133453,1.7092445403680352,10.816666666666654,-0.23912241805530993,231.85342466666665,231.92013866666667
6 - Posterior Release,Posterior Release,10,3.1920055120005775,12.0,104.8685405720002,-0.17097562447165893,-0.10438748837258022,-0.06658813609907871,0.4436887661680803,1.7348760976950577,10.816666666666654,-0.23912241805530993,264.3205786666667,265.1872716666667
6 - Posterior Release,Posterior Release,11,3.0810492493340114,12.0,103.75153579999937,0.47468425973326833,-0.3208889090991592,0.7955731688324275,0.4282658456574276,1.7468721991731986,10.816666666666654,-0.23912241805530993,305.55463066666664,305.9546926666667
6 - Posterior Release,Posterior Release,12,2.8729787066675683,12.0,116.24578698466715,0.09095152244849386,0.9658820846906233,-0.8749305622421295,0.399344040226792,1.7512091650927835,10.816666666666654,-0.23912241805530993,346.3886576666667,348.12199366666664
7 - SPO,SPO,1,4.1053925299997545,12.0,104.69185734166648,-0.032738137025511205,0.43704388777171455,-0.46978202479722575,0.5706495616699659,1.7284354988253028,10.73333333333332,-0.38795950363472725,31.76702433333332,32.73372133333332
7 - SPO,SPO,2,4.224799976666689,12.0,111.28842798133358,0.17162973301908213,1.4429992140643475,-1.2713694810452654,0.5872471967566697,1.7156811395127023,10.73333333333332,-0.38795950363472725,65.30086233333333,66.43423933333332
7 - SPO,SPO,3,5.522545725999264,12.0,102.1206318953329,0.2937055813540448,0.6489873996310733,-0.35528181827702854,0.7676338559138978,1.7042407907533197,10.73333333333332,-0.38795950363472725,101.60154633333332,102.23483133333332
7 - SPO,SPO,4,6.364919966666757,12.0,43.19509526933343,5.457973832273517,5.785909500592269,-0.3279356683187524,0.8847238753666792,1.6892979378785404,10.73333333333332,-0.38795950363472725,156.96903333333333,158.1690473333333
7 - SPO,SPO,5,12.162690000000001,12.0,26.39421339333336,6.041119069735199,6.041119069735199,0.0,1.6906139100000002,1.6906139100000002,10.73333333333332,-0.38795950363472725,184.60294933333333,184.60294933333333
7 - SPO,SPO,6,21.030043385667977,12.0,24.47525954666652,8.243246378488692,8.243246378488692,0.0,2.9231760306078485,2.9231760306078485,10.73333333333332,-0.38795950363472725,193.7697543333333,193.7697543333333
7 - SPO,SPO,7,21.030043385667977,12.0,26.011953380665958,8.243246378488692,8.243246378488692,0.0,2.9231760306078485,2.9231760306078485,10.73333333333332,-0.38795950363472725,193.7697543333333,193.7697543333333
7 - SPO,SPO,8,22.246120014666,12.0,24.452470212333267,8.401840761472002,8.401840761472002,0.0,3.092210682038574,3.092210682038574,10.73333333333332,-0.38795950363472725,196.83636133333331,196.83636133333331
7 - SPO,SPO,9,20.846291999668466,12.0,24.25927,8.2756471001954,8.2756471001954,0.0,2.8976345879539167,2.8976345879539167,10.73333333333332,-0.38795950363472725,198.0363603333333,198.0363603333333
7 - SPO,SPO,10,7.795733052666138,12.0,28.838266760999257,4.70808592566151,5.765580231740881,-1.057494306079371,1.0836068943205932,1.7264235681600046,10.73333333333332,-0.38795950363472725,206.96994633333333,207.16985333333332
7 - SPO,SPO,11,21.72538333333377,12.0,23.840620056666747,8.599292185614864,8.599292185614864,0.0,3.019828283333394,3.019828283333394,10.73333333333332,-0.38795950363472725,213.10333333333332,213.10333333333332
7 - SPO,SPO,12,18.971196270000448,12.0,25.25143676333323,8.396040049069502,8.396040049069502,0.0,2.6369962815300623,2.6369962815300623,10.73333333333332,-0.38795950363472725,215.9366643333333,215.9366643333333
7 - SPO,SPO,13,18.971196270000448,12.0,23.378370553333127,8.396040049069502,8.396040049069502,0.0,2.6369962815300623,2.6369962815300623,10.73333333333332,-0.38795950363472725,215.9366643333333,215.9366643333333
7 - SPO,SPO,14,3.8722143696681033,12.0,88.0305051789997,-0.7004514449167627,0.2460637166369146,-0.9465151615536773,0.5382377973838663,1.7273669000000003,10.73333333333332,-0.38795950363472725,236.1038003333333,237.07040633333332
7 - SPO,SPO,15,2.8946340550003544,12.0,97.1941688876647,-0.07775563874194619,-0.11055117876335746,0.032795540021411274,0.4023541336450493,1.7811687744550042,10.73333333333332,-0.38795950363472725,272.2709883333333,273.60427833333335
7 - SPO,SPO,16,2.6663934563333562,12.0,94.46901076333317,0.23652110452025737,-0.30396087566022406,0.5404819801804814,0.3706286904303365,1.7722920558400532,10.73333333333332,-0.38795950363472725,305.2714863333333,306.63814933333333
