file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,run_samples,transition_flag_raw,transition_flag
5 - FBF,FBF,1,550,665,45.68408599999999,49.51732099999999,3.833234999999995,0.9673579259998581,60.46047637099956,-0.8507261963050353,3.3635772473747747,4.21430344367981,697,False,False
5 - FBF,FBF,2,1407,1528,79.08452099999998,83.11790899999998,4.033388000000002,1.7485283309998703,60.705863378999595,-0.3356940945351679,3.3981854135675493,3.733879508102717,765,False,False
5 - FBF,FBF,3,2512,2631,120.65189499999998,124.61860999999999,3.9667150000000078,0.8057459499998544,69.87112330999935,-0.4362634341013139,3.8876752983939076,4.323938732495222,798,False,False
5 - FBF,FBF,4,3736,3973,163.41919199999998,171.319292,7.900100000000009,8.786169119999954,40.24648953199995,-0.41322072913070923,2.766757217509252,3.179977946639961,706,False,False
5 - FBF,FBF,5,4657,4835,195.18636299999997,201.11978499999998,5.933422000000007,2.866460477002332,37.74114769999966,-0.6193846850008599,2.2264166258489904,2.84580131084985,799,False,False
5 - FBF,FBF,6,5875,5981,239.68719499999997,243.22048399999997,3.5332889999999963,3.1519291050010327,38.39860152000036,-0.3988163660854323,2.4637322647893893,2.8625486308748216,864,False,False
5 - FBF,FBF,7,7081,7224,287.021297,291.788032,4.766734999999983,1.9719901729986027,63.29927107199968,-0.3738098148393745,1.9973053805444732,2.3711151953838474,648,False,False
5 - FBF,FBF,8,7971,8068,319.588439,322.821775,3.2333360000000084,4.246947240999074,69.40233172499957,0.6334040428397003,3.8352545543689454,3.201850511529245,688,False,False
5 - FBF,FBF,9,8817,8940,350.822252,354.98902400000003,4.166772000000037,4.238830852000022,76.09579271999974,-0.8770258341610893,2.166286469363404,3.0433123035244933,746,False,False
6 - Posterior Release,Posterior Release,1,220,522,28.350098666666653,38.416920666666655,10.066822000000002,3.3050800000000002,75.13207186600015,-0.6673630498628474,3.6349418792893746,4.302304929152222,661,False,False
6 - Posterior Release,Posterior Release,2,1141,1262,60.850655666666654,65.75070266666665,4.900047000000001,2.84237,74.40248153733383,-0.23956318443993355,4.282281067512622,4.521844251952556,735,False,False
6 - Posterior Release,Posterior Release,3,2144,2270,97.71794566666665,101.91796666666664,4.2000209999999925,1.58644,80.49935133333396,-0.7568456721075187,3.2113493455664304,3.968195017673949,689,False,False
6 - Posterior Release,Posterior Release,4,3185,3311,135.08510266666664,139.28529666666665,4.20019400000001,9.057277253332915,49.156310129999675,-0.0805584572969163,3.7600424190545967,3.840600876351513,549,False,False
6 - Posterior Release,Posterior Release,5,3994,4121,163.71898666666667,167.95238466666666,4.233397999999994,4.342614586666658,45.80838,-0.1635189203106685,3.4372939710872985,3.600812891397967,546,False,False
6 - Posterior Release,Posterior Release,6,4734,4856,190.65282566666667,194.71947366666666,4.0666479999999865,2.500339392333485,50.68945280999985,0.39199511152505745,3.1643482982768485,2.772353186751791,678,False,False
6 - Posterior Release,Posterior Release,7,5840,5988,231.85342466666665,236.78680266666666,4.933378000000005,8.83497295333342,101.41056432266649,-0.14396542775885957,4.2749036863051995,4.418869114064059,633,False,False
6 - Posterior Release,Posterior Release,8,6738,6885,264.3205786666667,269.2206546666667,4.900076000000013,3.1920055120005775,104.8685405720002,-0.5265633855100708,5.166935166352696,5.693498551862766,692,False,False
6 - Posterior Release,Posterior Release,9,7732,7800,305.55463066666664,314.8214066666667,9.26677600000005,3.0810492493340114,103.75153579999937,0.19548953018496268,3.5294953483822087,3.334005818197246,497,False,False
6 - Posterior Release,Posterior Release,10,8478,8631,346.35540266666663,351.92200866666667,5.566606000000036,2.9996397173343237,116.24578698466715,-0.27622344622940787,3.6722628332010894,3.9484862794304973,545,False,False
7 - SPO,SPO,1,436,532,31.76702433333332,34.967008333333325,3.199984000000004,4.1053925299997545,104.69185734166648,-0.3818455674624809,5.314522019580927,5.696367587043408,602,False,False
7 - SPO,SPO,2,1253,1379,65.30086233333333,69.50100533333332,4.200142999999997,4.224799976666689,111.28842798133358,-0.21597048075916386,5.909657948764197,6.125628429523361,706,False,False
7 - SPO,SPO,3,2250,2357,101.60154633333332,105.16817533333332,3.566629000000006,5.522545725999264,102.1206318953329,-0.03435145756260827,5.789837713447413,5.824189171010021,796,False,False
7 - SPO,SPO,4,3896,4004,156.96903333333333,160.56910933333333,3.6000760000000014,6.364919966666757,43.19509526933343,4.9858799568348005,8.756014222044547,3.7701342652097463,549,False,True
7 - SPO,SPO,5,4725,4818,184.60294933333333,187.70297933333333,3.100030000000004,12.162690000000001,26.39421339333336,5.497918346249557,7.654628952080547,2.1567106058309893,199,True,True
7 - SPO,SPO,6,5396,5479,206.96994633333333,209.7365443333333,2.7665979999999877,7.795733052666138,28.838266760999257,4.253152451968063,7.9984758758660925,3.7453234238980295,122,True,True
7 - SPO,SPO,7,6063,6198,236.1038003333333,240.6037323333333,4.499932000000001,3.8722143696681033,88.0305051789997,-0.9165356737183583,4.46659780439352,5.383133478111878,709,False,False
7 - SPO,SPO,8,7063,7211,272.2709883333333,277.20437233333337,4.933384000000046,2.8946340550003544,97.1941688876647,-0.42552978132534275,4.567396168678926,4.9929259500042695,695,False,False
7 - SPO,SPO,9,8050,8170,305.2714863333333,309.2714963333333,4.000009999999975,2.6663934563333562,94.46901076333317,-0.12836715629252016,4.476516841196783,4.604883997489303,594,False,False
