file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,disp_start_mm,disp_peak_mm,ddisp_mm,run_samples,transition_flag_raw,transition_flag
4 - FUF Left,"FUF, left",6,5439,5573,224.53671533333332,229.00343433333333,4.466719000000012,0.924458224666848,37.944296264333346,-0.3961734950296565,2.2846205481192703,2.6807940431489268,-0.9118193213102561,5.258204255894602,6.170023577204858,671,False,False
4 - FUF Left,"FUF, left",7,6776,6945,274.7707763333333,280.40431533333333,5.633539000000042,5.6693445336671955,63.57021694000004,0.34487011858733424,2.3867552513797694,2.041885132792435,0.7937412305862387,5.493273984126272,4.6995327535400335,971,False,False
4 - FUF Left,"FUF, left",8,7901,8028,314.4047893333333,318.6382363333333,4.2334469999999556,5.4920052373335215,63.16976432666614,1.4261186452124917,2.2400656750352317,0.81394702982274,3.282305735996333,5.15565828892245,1.8733525529261175,687,False,False
4 - FUF Left,"FUF, left",9,8720,8865,343.17192133333333,348.0053683333333,4.833446999999978,4.655109960000347,65.16012351999908,-0.8347924709022265,2.39101574432181,3.2258082152240366,-1.9213297047951179,5.503079788481174,7.424409493276292,780,False,False
5 - FBF,FBF,1,613,728,45.68408599999999,49.51732099999999,3.833234999999995,0.9673579259998581,60.46047637099956,-0.21321758836244142,3.9091204174535346,4.122338005815976,-0.49073428472921304,8.997097409799526,9.487831694528738,697,False,False
5 - FBF,FBF,2,1499,1620,79.08452099999998,83.11790899999998,4.033388000000002,1.7485283309998703,60.705863378999595,0.16889122035297266,3.9436836332887357,3.774792412935763,0.38871423719545034,9.076646921315417,8.687932684119966,765,False,False
5 - FBF,FBF,3,2653,2772,120.65189499999998,124.61860999999999,3.9667150000000078,0.8057459499998544,69.87112330999935,0.12585519271680773,4.429072214795366,4.303217022078559,0.289663992786344,10.193800624210136,9.90413663142379,798,False,False
5 - FBF,FBF,4,3898,4135,163.41919199999998,171.319292,7.900100000000009,8.786169119999954,40.24648953199995,0.128182151125998,3.306460697591402,3.1782785464654038,0.2950196404104392,7.6100364790712245,7.315016838660785,706,False,False
5 - FBF,FBF,5,4828,5006,195.18636299999997,201.11978499999998,5.933422000000007,2.866460477002332,37.74114769999966,-0.08207687531761132,2.7737399588588594,2.855816834176471,-0.18890531973061095,6.383944707327021,6.5728500270576316,799,False,False
5 - FBF,FBF,6,6078,6184,239.68719499999997,243.22048399999997,3.5332889999999963,3.1519291050010327,38.39860152000036,0.16945756697133552,2.981469848708586,2.81201228173725,0.3900177211378663,6.862048693471911,6.472030972334045,864,False,False
5 - FBF,FBF,7,7304,7447,287.021297,291.788032,4.766734999999983,1.9719901729986027,63.29927107199968,0.17232433012158666,2.5381362893900734,2.3658119592684868,0.39661576483037425,5.841687386510662,5.445071621680288,648,False,False
5 - FBF,FBF,8,8201,8298,319.588439,322.821775,3.2333360000000084,4.246947240999074,69.40233172499957,1.1122336650502722,4.380766642535283,3.2685329774850107,2.5598788367420715,10.082622176721127,7.522743339979056,688,False,False
5 - FBF,FBF,9,9079,9202,350.822252,354.98902400000003,4.166772000000037,4.238830852000022,76.09579271999974,-0.3034177771905353,2.712885176524261,3.0163029537147965,-0.6983359440808382,6.243883428561607,6.9422193726424455,746,False,False
6 - Posterior Release,Posterior Release,1,264,566,28.350098666666653,38.416920666666655,10.066822000000002,3.3050800000000002,75.13207186600015,-0.442391545656841,3.866084717639033,4.308476263295874,-1.0181932006431171,8.898047919893509,9.916241120536625,661,False,False
6 - Posterior Release,Posterior Release,2,1201,1326,60.850655666666654,65.75070266666665,4.900047000000001,2.84237,74.40248153733383,-0.06102588749046725,4.510419448737241,4.5714453362277085,-0.14045508852062025,10.381026626388284,10.521481714908903,735,False,False
6 - Posterior Release,Posterior Release,3,2218,2348,97.51785766666664,101.91796666666664,4.4001090000000005,1.2276083533330477,80.49935133333396,-0.07475707160652637,3.445264083827959,3.5200211554344856,-0.17205831069113406,7.929501589740248,8.101559900431383,689,False,False
6 - Posterior Release,Posterior Release,4,3293,3419,135.08510266666664,139.28529666666665,4.20019400000001,9.057277253332915,49.156310129999675,0.1636194586493105,3.981875666894459,3.818256208245148,0.37658093136088705,9.164548395287628,8.78796746392674,549,False,False
6 - Posterior Release,Posterior Release,5,4110,4237,163.71898666666667,167.95238466666666,4.233397999999994,4.342614586666658,45.80838,0.06139070246084799,3.642420457233251,3.581029754772403,0.14129473413767868,8.383269933271022,8.241975199133343,546,False,False
6 - Posterior Release,Posterior Release,6,4861,4983,190.65282566666667,194.71947366666666,4.0666479999999865,2.500339392333485,50.68945280999985,0.5968579793413648,3.4093056373924218,2.812447658051057,1.3737078438347188,7.84674086335251,6.473033019517791,678,False,False
6 - Posterior Release,Posterior Release,7,5987,6135,231.85342466666665,236.78680266666666,4.933378000000005,8.83497295333342,101.41056432266649,0.2455217365381029,4.506845562576178,4.261323826038075,0.5650844036407082,10.372801092639298,9.807716688998589,633,False,False
6 - Posterior Release,Posterior Release,8,6905,7052,264.3205786666667,269.2206546666667,4.900076000000013,3.1920055120005775,104.8685405720002,-0.16656113608147163,5.3965548451073,5.563115981188772,-0.3833513951939259,12.420525446587394,12.803876841781321,692,False,False
6 - Posterior Release,Posterior Release,9,7943,8015,305.55463066666664,314.8214066666667,9.26677600000005,3.0810492493340114,103.75153579999937,0.46009725917641364,3.781598302739963,3.3215010435635497,1.0589440633012108,8.703596886546515,7.644652823245305,497,False,False
6 - Posterior Release,Posterior Release,10,8726,8886,346.3886576666667,351.92200866666667,5.533350999999982,2.8729787066675683,116.24578698466715,0.08734950592113311,3.848896091751857,3.761546585830724,0.20104062539527442,8.858487168386073,8.6574465429908,547,False,False
7 - SPO,SPO,1,483,579,31.76702433333332,34.967008333333325,3.199984000000004,4.1053925299997545,104.69185734166648,-0.031266152807097936,5.687137149559016,5.718403302366114,-0.07196110439043048,13.089319707066883,13.161280811457313,602,False,False
7 - SPO,SPO,2,1304,1430,65.30086233333333,69.50100533333332,4.200142999999997,4.224799976666689,111.28842798133358,0.1666253512579401,6.286745032049309,6.120119680791369,0.3834991906405165,14.469356633625162,14.085857442984645,706,False,False
7 - SPO,SPO,3,2325,2432,101.60154633333332,105.16817533333332,3.566629000000006,5.522545725999264,102.1206318953329,0.2850287884739233,6.151921423723865,5.8668926352499415,0.656012478676097,14.159051243228705,13.503038764552608,796,False,False
7 - SPO,SPO,4,3977,4085,156.96903333333333,160.56910933333333,3.6000760000000014,6.364919966666757,43.19509526933343,5.293473092901806,9.13026984859938,3.8367967556975735,12.18327602300228,21.01391577471931,8.830639751717031,549,False,False
7 - SPO,SPO,5,4806,4899,184.60294933333333,187.70297933333333,3.100030000000004,12.162690000000001,26.39421339333336,5.85865860075155,8.031518011166668,2.1728594104151178,13.484087593305258,18.48506624978758,5.000978656482321,199,False,False
7 - SPO,SPO,6,5477,5560,206.96994633333333,209.7365443333333,2.7665979999999877,7.795733052666138,28.838266760999257,4.566027763470791,8.376525468098507,3.810497704627716,10.509012815357734,19.27912357359471,8.770110758236976,122,False,False
7 - SPO,SPO,7,6170,6305,236.1038003333333,240.6037323333333,4.499932000000001,3.8722143696681033,88.0305051789997,-0.6798466075605498,4.834787089611792,5.514633697172342,-1.5647116227564308,11.127580057821405,12.692291680577835,709,False,False
7 - SPO,SPO,8,7192,7340,272.2709883333333,277.20437233333337,4.933384000000046,2.8946340550003544,97.1941688876647,-0.0753531012977583,4.942878929457333,5.018232030755091,-0.17343011217547916,11.376360527195713,11.549790639371192,695,False,False
7 - SPO,SPO,9,8179,8299,305.2714863333333,309.2714963333333,4.000009999999975,2.6663934563333562,94.46901076333317,0.22939588576779285,4.8690312938309805,4.639635408063188,0.5279696988727027,11.206395343148891,10.678425644276189,594,False,False
